

3M INDIA LTD,,,,,,,,,,,,SCREENER.IN,
,,,,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Trailing,Best Case,Worst Case
Sales, 	742.47 ," 	1,086.86 "," 	1,191.41 "," 	1,405.10 "," 	1,574.13 "," 	1,742.34 "," 	1,840.30 "," 	2,139.60 "," 	2,362.98 "," 	2,556.14 "," 	2,798.19 "," 	2,852.00 "," 	2,821.11 "
Expenses, 	654.33 , 	948.38 ," 	1,035.07 "," 	1,282.99 "," 	1,462.55 "," 	1,630.29 "," 	1,636.20 "," 	1,802.94 "," 	1,994.13 "," 	2,076.24 "," 	2,242.24 "," 	2,285.36 "," 	2,462.02 "
Operating Profit, 	88.14 , 	138.48 , 	156.34 , 	122.11 , 	111.58 , 	112.05 , 	204.10 , 	336.66 , 	368.85 , 	479.90 , 	555.95 , 	566.64 , 	359.09 
Other Income, 	10.59 , 	19.90 , 	10.88 , 	5.03 , 	10.15 , 	19.36 , 	14.09 , 	17.62 , 	49.40 , 	43.53 , 	41.99 , 	-   , 	-   
Depreciation, 	7.23 , 	16.95 , 	17.36 , 	27.03 , 	36.30 , 	47.60 , 	49.60 , 	48.93 , 	46.75 , 	41.80 , 	41.87 , 	41.87 , 	41.87 
Interest, 	0.47 , 	0.56 , 	1.80 , 	4.00 , 	10.24 , 	14.75 , 	4.02 , 	2.25 , 	2.27 , 	1.94 , 	1.79 , 	1.79 , 	1.79 
Profit before tax, 	91.03 , 	140.87 , 	148.06 , 	96.11 , 	75.20 , 	69.07 , 	164.57 , 	303.10 , 	369.22 , 	479.69 , 	554.28 , 	522.98 , 	315.43 
Tax, 	33.57 , 	48.03 , 	49.26 , 	31.34 , 	22.93 , 	26.08 , 	56.22 , 	108.34 , 	128.47 , 	169.15 , 	196.40 ,35%,35%
Net profit, 	57.46 , 	92.84 , 	98.80 , 	64.77 , 	52.27 , 	42.99 , 	108.34 , 	194.76 , 	240.76 , 	310.54 , 	357.89 , 	337.67 , 	203.66 
EPS, 	51.01 , 	82.41 , 	87.70 , 	57.50 , 	46.40 , 	38.16 , 	96.17 , 	172.89 , 	213.72 , 	275.67 , 	317.56 , 	299.62 , 	180.71 
Price to earning, 	18.91 , 	28.02 , 	42.20 , 	72.32 , 	75.02 , 	97.22 , 	88.09 , 	71.70 , 	55.30 , 	74.34 , 	75.38 , 	75.38 , 	63.50 
Price, 	964.69 ," 	2,309.29 "," 	3,701.55 "," 	4,158.37 "," 	3,481.11 "," 	3,710.03 "," 	8,472.10 "," 	12,396.15 "," 	11,818.69 "," 	20,492.99 "," 	23,937.50 "," 	22,585.20 "," 	11,475.39 "
,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
OPM,11.87%,12.74%,13.12%,8.69%,7.09%,6.43%,11.09%,15.73%,15.61%,18.77%,19.87%,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,14.72%,11.52%,10.18%,11.57%,9.47%,11.57%,9.47%
,,,,,,OPM,12.73%,12.74%,14.11%,16.79%,19.87%,19.87%,12.73%
,,,,,,Price to Earning, 	63.50 , 	76.17 , 	77.00 , 	69.18 , 	75.38 , 	75.38 , 	63.50 



3M INDIA LTD,,,,,,,,,SCREENER.IN,,
,,,,,,,,,,,
Narration,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,
Sales, 	565.60 , 	576.23 , 	623.91 , 	664.35 , 	567.35 , 	645.77 , 	678.67 , 	700.66 , 	682.86 , 	736.00 ,
Expenses, 	490.37 , 	511.18 , 	488.29 , 	565.42 , 	474.51 , 	519.22 , 	528.91 , 	546.29 , 	587.93 , 	579.11 ,
Operating Profit, 	75.23 , 	65.05 , 	135.62 , 	98.93 , 	92.84 , 	126.55 , 	149.76 , 	154.37 , 	94.93 , 	156.89 ,
Other Income, 	11.14 , 	11.86 , 	15.59 , 	13.60 , 	9.17 , 	24.66 , 	7.91 , 	9.42 , 	14.64 , 	10.02 ,
Depreciation, 	11.80 , 	11.73 , 	11.46 , 	10.97 , 	10.20 , 	10.30 , 	10.33 , 	10.39 , 	10.85 , 	10.30 ,
Interest, 	0.31 , 	0.31 , 	1.31 , 	0.18 , 	0.24 , 	0.21 , 	1.31 , 	0.20 , 	0.14 , 	0.14 ,
Profit before tax, 	74.26 , 	64.87 , 	138.44 , 	101.38 , 	91.57 , 	140.70 , 	146.03 , 	153.20 , 	98.58 , 	156.47 ,
Tax, 	26.05 , 	22.44 , 	48.04 , 	35.30 , 	31.89 , 	48.99 , 	52.98 , 	53.60 , 	34.74 , 	55.08 ,
Net profit, 	48.21 , 	42.43 , 	90.39 , 	66.09 , 	59.69 , 	91.70 , 	93.05 , 	99.61 , 	63.84 , 	101.39 ,
,,,,,,,,,,,
OPM,13%,11%,22%,15%,16%,20%,22%,22%,14%,21%,




3M INDIA LTD,,,,,,,,,SCREENER.IN,
,,,,,,,,,,
Narration,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Selling and admin,90.87,151.04,155.89,183.85,200.85,207.3,220.81,264.23,326.8,333.69
Other Expenses,16.93,12.71,14.58,20.27,22.73,53.06,40.8,55.55,38.59,52.56
Other Income,10.59,19.9,10.88,5.03,10.15,19.36,14.09,17.62,49.4,43.53
Depreciation,7.23,16.95,17.36,27.03,36.3,47.6,49.6,48.93,46.75,41.8
Interest,0.47,0.56,1.8,4,10.24,14.75,4.02,2.25,2.27,1.94
Profit before tax,91.03,140.87,148.06,96.11,75.2,69.07,164.57,303.1,369.22,479.69
Tax,33.57,48.03,49.26,31.34,22.93,26.08,56.22,108.34,128.47,169.15
Net profit,57.46,92.84,98.8,64.77,52.27,42.99,108.34,194.76,240.76,310.54
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18
Sales,565.6,576.23,623.91,664.35,567.35,645.77,678.67,700.66,682.86,736
Expenses,490.37,511.18,488.29,565.42,474.51,519.22,528.91,546.29,587.93,579.11
Other Income,11.14,11.86,15.59,13.6,9.17,24.66,7.91,9.42,14.64,10.02
Depreciation,11.8,11.73,11.46,10.97,10.2,10.3,10.33,10.39,10.85,10.3
Interest,0.31,0.31,1.31,0.18,0.24,0.21,1.31,0.2,0.14,0.14
Profit before tax,74.26,64.87,138.44,101.38,91.57,140.7,146.03,153.2,98.58,156.47
Tax,26.05,22.44,48.04,35.3,31.89,48.99,52.98,53.6,34.74,55.08
Net profit,48.21,42.43,90.39,66.09,59.69,91.7,93.05,99.61,63.84,101.39
Operating Profit,75.23,65.05,135.62,98.93,92.84,126.55,149.76,154.37,94.93,156.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27,11.27
Reserves,336.49,429.33,528.13,592.9,645.17,688.16,796.45,976.81,1215.13,1525.4
Borrowings,,,12.14,75.93,173.72,120.94,14.31,11.16,9.78,9.46
Other Liabilities,132.27,173.83,206.4,252.41,243.57,286.31,323.17,429.56,717.41,610.09
Total,480.03,614.43,757.94,932.51,1073.73,1106.68,1145.2,1428.8,1953.59,2156.22
Net Block,116,141.3,165.32,289.87,299.55,418.28,387.75,349.22,315.16,285.22
Capital Work in Progress,27.32,39.72,94.2,20.8,120.85,7.02,1.3,1.21,2.43,5.75
Investments,,,,,,,,,,
Other Assets,336.71,433.41,498.42,621.84,653.33,681.38,756.15,1078.37,1636,1865.25
Total,480.03,614.43,757.94,932.51,1073.73,1106.68,1145.2,1428.8,1953.59,2156.22
Receivables,108.6,144.55,196.75,233.11,266.37,265.18,249.12,317.15,407.92,529.64
Inventory,105.97,123.11,158.93,213.72,225.21,258.24,295.57,292.38,331.78,347.29
Cash & Bank,52.48,105.58,50.68,53.89,59.58,59.7,113.91,370.88,744.16,789.31
No. of Equity Shares,11265070,11265070,11265070,11265070,11265070,11265070,11265070,11265070,11265070,11265070
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity,0.8,105.98,52.65,20.89,63.78,120.38,177.37,260.9,364.93,29.42
Cash from Investing Activity,-43.94,-52.45,-119.01,-70.96,-140.95,-47.22,-4.31,1.39,12.01,17.99
Cash from Financing Activity,-0.37,-0.43,11.52,53.28,82.86,-73.05,-118.85,-5.33,-3.65,-2.26
Net Cash Flow,-43.51,53.1,-54.84,3.21,5.69,0.11,54.21,256.97,373.28,45.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,964.686585,2309.290476,3701.551316,4158.368421,3481.1075,3710.030263,8472.10125,12396.15,11818.690789,20492.992857
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr, 	1.13 , 	1.13 , 	1.13 , 	1.13 , 	1.13 , 	1.13 , 	1.13 , 	1.13 , 	1.13 , 	1.13 
