COMPANY NAME,KOTAK MAHINDRA BANK LTD,,,,,,,,,
Other Income,2003.97,4298.81,2669.41,3067.55,3713.88,4141.75,3000.19,3517.96,3600.99,5847.64
Depreciation,93.08,91.54,93.62,94.78,94.63,100.4,108.82,115.79,116.16,117.65
Interest,2919.02,2765.05,2930.64,2987.59,3204.81,3343.81,3498.65,3772.76,3940.53,3974.67
Profit before tax,1861.4,2066.05,2000.26,2173.84,2414,2570.13,2315.92,2549.91,2719.3,2990.59
Tax,611.46,644.67,663.75,711.31,795.94,840.09,771.35,835.79,896.51,952.37
Net profit,1266.59,1404.34,1346.82,1440.68,1624.24,1789.24,1574.48,1747.37,1844.01,2038.27
Operating Profit,2869.53,623.83,2355.11,2188.66,1999.56,1872.59,2923.2,2920.5,3175,1235.27
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital,345.67,348.14,368.44,370.34,373.3,385.16,386.18,917.19,920.45,952.82
Reserves,6176.88,7562.8,10594.51,12530.7,14876.49,18690.85,21767.14,32443.45,37570.39,49533.24
Borrowings,25800.86,35704.88,49386.29,65655.41,85561.1,85936.89,104258.34,179678.55,205229.91,249839.77
Other Liabilities,7910.43,11498.99,13331.88,13792.93,15054.56,17223.74,22164.1,27764.39,32466.81,37394.64
Total,40233.84,55114.81,73681.12,92349.38,115865.45,122236.64,148575.76,240803.58,276187.56,337720.47
Net Block,341.76,613.83,600.42,615.29,619.9,1264.09,1384.97,1761.02,1758.62,2542.89
Capital Work in Progress,,,,,,,,,,
Investments,13313.03,19484.78,26048.99,31658.43,40907.24,38791.05,45588.89,70273.9,68461.54,90976.6
Other Assets,26579.05,35016.2,47031.71,60075.66,74338.31,82181.5,101601.9,168768.66,205967.4,244200.98
Total,40233.84,55114.81,73681.12,92349.38,115865.45,122236.64,148575.76,240803.58,276187.56,337720.47
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,1437.5,2506.81,2994.25,3575.83,4518.25,6643.11,6903.44,11599.41,25588.55,24400.63
No. of Equity Shares,345668859,348141477,736871504,740689510,746609026,770311001,772352664,1834382158,1840897877,1905648506
New Bonus Shares,,,,,,,,912841920,,
Face value,10,10,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity,-114.41,1568.86,-1738.59,-1191.5,2878.45,9068.04,2301.72,5024.58,13222.5,-10392.41
Cash from Investing Activity,-171.66,-405.73,-188.92,-5456.27,-9035.39,-1129.57,-4467.08,-2353.03,-5288.62,-5474.91
Cash from Financing Activity,-1554.31,-93.81,2414.95,7229.35,7099.36,-5813.61,2425.69,2024.41,6055.26,14679.4
Net Cash Flow,-1840.38,1069.32,487.44,581.58,942.42,2124.86,260.33,4695.97,13989.14,-1187.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,93.478056,188.077381,226.011579,285.6315,330.125,395.638158,688.72125,684.031579,886.463158,1144.882143
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr, 	160.42 , 	160.91 , 	164.97 , 	165.35 , 	165.95 , 	168.32 , 	168.52 , 	183.44 , 	184.09 , 	190.56 
