COMPANY NAME,3I INFOTECH LTD,,,,,,,,,
Interest,14.5,13.34,12.01,12.21,12.37,11.44,11.22,10.75,10.87,9.33
Profit before tax,56.79,4.35,17.7,-130.09,-2.1,27.75,39.54,78.61,110.25,22.5
Tax,,-1.37,,,,,,,,
Net profit,56.79,5.72,17.7,-130.09,-2.1,27.75,39.54,78.61,110.25,22.5
Operating Profit,36.88,9.54,20.12,-131.01,3.72,19.14,3.27,35.84,-8.74,26.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Equity Share Capital,130.75,168.76,191.99,191.99,571.55,572.64,603.75,640.8,1183.65,1615.36
Reserves,515.9,626.34,776.25,372.29,397.11,-40.34,-953.61,-477.44,-1437.98,-1512.72
Borrowings,1630.43,1731.83,1842.59,2106.25,2212.94,2524.33,2518.55,1040.78,1041.59,966.94
Other Liabilities,380.44,318.18,459.32,906.28,1723.04,2027.2,2530.07,1297.23,1698.58,1274.9
Total,2657.52,2845.11,3270.15,3576.81,4904.64,5083.83,4698.76,2501.37,2485.84,2344.48
Net Block,380.27,244.85,217.83,798.63,1501.97,1426.48,1363.27,374.16,368.29,366.25
Capital Work in Progress,71.89,1.38,,,32.71,,,,,
Investments,1455.42,1724.84,1969.78,2019,1533.88,1533.87,1432.55,1227.99,1236.89,1127.59
Other Assets,749.94,874.04,1082.54,759.18,1836.08,2123.48,1902.94,899.22,880.66,850.64
Total,2657.52,2845.11,3270.15,3576.81,4904.64,5083.83,4698.76,2501.37,2485.84,2344.48
Receivables,136.41,250.07,196.84,82.06,486.33,609.96,575.19,603.32,560.41,580.71
Inventory,,,,,,,,0.37,,
Cash & Bank,99.15,44.74,108.86,40.26,13.87,16.5,12.34,21.18,96.55,32.95
No. of Equity Shares,130750946,168759946,191986549,191986549,571555000,572644400,603750900,640803928,1183650000,1615360000
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18
Cash from Operating Activity,356,194.8,233.73,-81.36,36.45,-72.55,73.99,35.39,113.86,82.2
Cash from Investing Activity,-425.97,-386,-152.96,-16.35,-39.79,77.63,-3.19,2.76,16.61,1.29
Cash from Financing Activity,73.34,189.45,-21.28,43.35,-15.03,1.9,-79.32,-25.33,-56.31,-146.08
Net Cash Flow,3.37,-1.75,59.49,-54.36,-18.37,6.98,-8.52,12.82,74.16,-62.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,40.265278,76.392857,46.309211,15.2425,5.78825,7.533684,6.82275,4.288947,5.459737,5.22
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr, 	13.08 , 	16.88 , 	19.20 , 	19.20 , 	57.16 , 	57.26 , 	60.38 , 	64.08 , 	118.37 , 	161.54 
